Artist,Rank,Sales,Title,Year
SHAGGY FEATURING RIKROK,51,1.28,IT WASN'T ME,2001
SHAYNE WARD,88,1.1,THAT'S MY GOAL,2005
SHOWADDYWADDY,121,1,UNDER THE MOON OF LOVE,1976
SLADE,63,1.19,MERRY XMAS EVERYBODY,1973
SOFT CELL,52,1.27,TAINTED LOVE,1981
SPICE GIRLS,84,1.11,2 BECOME 1,1996
SPICE GIRLS,45,1.32,WANNABE,1996
STEPS,64,1.18,HEARTBEAT/TRAGEDY,1998
STEVIE WONDER,12,1.83,I JUST CALLED TO SAY I LOVE YOU,1984
SURVIVOR,38,1.41,EYE OF THE TIGER,1982
TAKE THAT,92,1.07,BACK FOR GOOD,1995
"TELETUBBIES,83,1.11,""TELETUBBIES SAY """"EH-OH!"""""",1997"
THE ARCHIES,113,1.02,SUGAR SUGAR,1969
THE BEATLES,25,1.53,CAN'T BUY ME LOVE,1964
THE BEATLES,95,1.06,HEY JUDE,1968
THE BEATLES,35,1.41,I FEEL FINE,1964
THE BEATLES,15,1.77,I WANT TO HOLD YOUR HAND,1963
THE BEATLES,8,1.9,SHE LOVES YOU,1963
THE BEATLES,40,1.39,WE CAN WORK IT OUT/DAY TRIPPER,1964
THE NEW SEEKERS,115,1.01,I'D LIKE TO TEACH THE WORLD TO SING,1971
THE RIGHTEOUS BROTHERS,104,1.04,UNCHAINED MELODY,1965
THE SEEKERS,36,1.41,THE CARNIVAL IS OVER,1965
THE SIMON PARK ORCHESTRA,119,1.01,EYE LEVEL,1972
TIGHT FIT,118,1.01,THE LION SLEEPS TONIGHT,1982
"TOM JONES,60,1.23,""GREEN, GREEN GRASS OF HOME"",1966"
TONY CHRISTIE FT PETER KAY,46,1.31,(IS THIS THE WAY TO) AMARILLO,2005
VARIOUS ARTISTS,23,1.55,PERFECT DAY,1997
VILLAGE PEOPLE,32,1.46,YMCA,1978
WET WET WET,10,1.85,LOVE IS ALL AROUND,1994
WHAM!,18,1.6,LAST CHRISTMAS/EVERYTHING SHE WANTS,1984
WHIGFIELD,75,1.14,SATURDAY NIGHT,1994
WHITNEY HOUSTON,26,1.53,I WILL ALWAYS LOVE YOU,1992
WILL YOUNG,14,1.79,ANYTHING IS POSSIBLE/EVERGREEN,2002
WINGS,4,2,MULL OF KINTYRE/GIRLS' SCHOOL,1977
